image,param,method,noise,PSNR_dB,SSIM
01,sigma15,bilateral,Gaussian,26.57,0.7913
02,sigma15,bilateral,Gaussian,29.16,0.803
03,sigma15,bilateral,Gaussian,27.06,0.8349
04,sigma15,bilateral,Gaussian,25.39,0.7748
01,sigma25,bilateral,Gaussian,25.94,0.7377
02,sigma25,bilateral,Gaussian,28.41,0.7459
03,sigma25,bilateral,Gaussian,26.31,0.7902
04,sigma25,bilateral,Gaussian,25.1,0.7611
01,sigma30,bilateral,Gaussian,25.31,0.6833
02,sigma30,bilateral,Gaussian,27.64,0.6832
03,sigma30,bilateral,Gaussian,25.72,0.7412
04,sigma30,bilateral,Gaussian,24.7,0.7328
01,sigma50,bilateral,Gaussian,21.78,0.4151
02,sigma50,bilateral,Gaussian,22.67,0.3627
03,sigma50,bilateral,Gaussian,21.91,0.4668
04,sigma50,bilateral,Gaussian,21.65,0.5408
01,sigma70,bilateral,Gaussian,17.92,0.2489
02,sigma70,bilateral,Gaussian,18.11,0.2053
03,sigma70,bilateral,Gaussian,17.85,0.2837
04,sigma70,bilateral,Gaussian,17.9,0.3533
01,sigma15,nlm,Gaussian,28.32,0.8036
02,sigma15,nlm,Gaussian,29.33,0.7577
03,sigma15,nlm,Gaussian,27.44,0.7565
04,sigma15,nlm,Gaussian,26.3,0.7863
01,sigma25,nlm,Gaussian,25.73,0.7008
02,sigma25,nlm,Gaussian,26.84,0.6576
03,sigma25,nlm,Gaussian,24.97,0.6712
04,sigma25,nlm,Gaussian,23.58,0.7057
01,sigma30,nlm,Gaussian,25.1,0.688
02,sigma30,nlm,Gaussian,26.63,0.6539
03,sigma30,nlm,Gaussian,24.75,0.6708
04,sigma30,nlm,Gaussian,23.27,0.6965
01,sigma50,nlm,Gaussian,23.37,0.5736
02,sigma50,nlm,Gaussian,25.31,0.56
03,sigma50,nlm,Gaussian,23.41,0.5911
04,sigma50,nlm,Gaussian,22.18,0.6052
01,sigma70,nlm,Gaussian,21.6,0.5007
02,sigma70,nlm,Gaussian,23.82,0.5215
03,sigma70,nlm,Gaussian,21.49,0.535
04,sigma70,nlm,Gaussian,20.79,0.5156
01,sp1,adaptive_median,SaltPepper,31.34,0.9446
02,sp1,adaptive_median,SaltPepper,38.47,0.9487
03,sp1,adaptive_median,SaltPepper,25.82,0.968
04,sp1,adaptive_median,SaltPepper,35.45,0.9753
01,sp10,adaptive_median,SaltPepper,30.25,0.9453
02,sp10,adaptive_median,SaltPepper,37.01,0.9496
03,sp10,adaptive_median,SaltPepper,25.62,0.9653
04,sp10,adaptive_median,SaltPepper,33.65,0.9698
01,sp20,adaptive_median,SaltPepper,28.49,0.9331
02,sp20,adaptive_median,SaltPepper,34.55,0.9409
03,sp20,adaptive_median,SaltPepper,25.3,0.9545
04,sp20,adaptive_median,SaltPepper,31.38,0.9577
01,sp30,adaptive_median,SaltPepper,26.84,0.9154
02,sp30,adaptive_median,SaltPepper,32.28,0.9246
03,sp30,adaptive_median,SaltPepper,24.74,0.9373
04,sp30,adaptive_median,SaltPepper,29.13,0.9363
01,sp1,median,SaltPepper,27.25,0.8793
02,sp1,median,SaltPepper,34.51,0.8927
03,sp1,median,SaltPepper,25.28,0.9342
04,sp1,median,SaltPepper,30.49,0.9318
01,sp10,median,SaltPepper,26.14,0.8645
02,sp10,median,SaltPepper,32.32,0.8796
03,sp10,median,SaltPepper,25.05,0.9214
04,sp10,median,SaltPepper,29.04,0.9159
01,sp20,median,SaltPepper,24.21,0.8229
02,sp20,median,SaltPepper,28.88,0.8316
03,sp20,median,SaltPepper,24.07,0.8759
04,sp20,median,SaltPepper,25.95,0.8702
01,sp30,median,SaltPepper,20.98,0.6776
02,sp30,median,SaltPepper,23.54,0.687
03,sp30,median,SaltPepper,21.52,0.7533
04,sp30,median,SaltPepper,22.45,0.7692
