noise,param,method,Avg_PSNR_dB,Avg_SSIM
Gaussian,sigma15,nlm,27.8475,0.776025
Gaussian,sigma15,bilateral,27.045,0.801
Gaussian,sigma25,bilateral,26.44,0.758725
Gaussian,sigma25,nlm,25.28,0.683825
Gaussian,sigma30,bilateral,25.8425,0.710125
Gaussian,sigma30,nlm,24.9375,0.6773
Gaussian,sigma50,nlm,23.5675,0.582475
Gaussian,sigma50,bilateral,22.0025,0.44635
Gaussian,sigma70,nlm,21.925,0.5182
Gaussian,sigma70,bilateral,17.945,0.2728
SaltPepper,sp1,adaptive_median,32.77,0.95915
SaltPepper,sp1,median,29.3825,0.9095
SaltPepper,sp10,adaptive_median,31.6325,0.9575
SaltPepper,sp10,median,28.1375,0.8953500000000001
SaltPepper,sp20,adaptive_median,29.93,0.94655
SaltPepper,sp20,median,25.7775,0.85015
SaltPepper,sp30,adaptive_median,28.247500000000002,0.9284
SaltPepper,sp30,median,22.1225,0.721775
